Marka;Model;İşlemci;RAM;Depolama;Ekran Kartı;Fiyat
HP;-;Intel Core Ultra 7 155H;32;1024;Entegre;77.999,55
HP;15-FC0016NT;AMD Ryzen 5 7520U;8;512;AMD Radeon;19.579,02
HP;255;AMD Ryzen 5 5500U;8;256;AMD Radeon;17.595,00
HP;15-FC0059NT;AMD Ryzen 7 7730U;16;512;Entegre;22.499,00
HP;250;Intel Core i5-1334U;8;256;Intel Iris Xe;19.999,00
HP;250;AMD Ryzen 7 5825U;32;1024;AMD Radeon;67.983,31
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
HP;15-FC0059NT;AMD Ryzen 7 7730U;16;512;AMD Radeon;22.085,30
HP;250;Intel Core i5-1334U;16;512;Intel Iris Xe;23.488,75
Casper;Nirvana S100.1362-DF00X-G-F;Intel Core i7-13620H;32;1024;Intel UHD;33.051,53
HP;255;AMD Ryzen 7 7730U;16;512;AMD Radeon;22.159,06
HP;255;AMD Ryzen 5 7530U;16;512;AMD Radeon;20.400,00
Casper;Nirvana X650.1342-BV00X-G-F;Intel Core i5-13420H;16;500;Intel UHD;22.139,00
Casper;Nirvana X600.7430-BV00X-G-F;AMD Ryzen 5 7430U;16;500;AMD Radeon;21.348,94
HP;250;Intel Core i7-1355U;16;512;Intel Iris Xe;27.402,11
Casper;Nirvana C370.4020-4C00B;Intel N4020;4;120;Intel UHD;10.601,07
HP;250;Intel Core i7-1355U;16;512;Intel Iris Xe;27.099,07
Casper;Nirvana X600.7430-DF00X-G-F;AMD Ryzen 5 7430U;32;1024;AMD Radeon;27.098,55
HP;-;Intel Core Ultra 5 226V;16;1024;Entegre;59.999,00
Casper;Nirvana S100.1362-BV00X-G-F;Intel Core i7-13620H;16;500;Intel UHD;26.489,80
HP;240;Intel Core i5-1335U;8;512;Intel Iris Xe;24.939,84
HP;ProBook 460 G11 A23BCEA Ultra 7 155U 16 GB 512 GB ;Intel Core Ultra 7 155U;16;512;Entegre;37.669,16
HP;ProBook 460 G11 A23BKEA Ultra 5 125U 16 GB 512 GB ;Intel Core Ultra 5 125U;16;512;Entegre;31.839,73
Casper;Nirvana X600.1362-BV00X-G-F;Intel Core i7-13620H;16;500;Intel UHD;24.999,00
Casper;Nirvana S100.1342-BV00X-G-F;Intel Core i5-13420H;16;500;Intel UHD;22.999,00
HP;-;Intel Core i7-1355U;16;512;Intel Iris Xe;32.447,04
HP;-;Intel Core i5-1334U;16;512;Intel Iris Xe;30.299,38
HP;250;Intel Core i5-1334U;16;512;Intel Iris Xe;23.104,43
HP;-;Intel Core i5-1334U;16;512;Intel Iris Xe;28.949,05
Casper;Nirvana X600.7430-BF00X-G-F;AMD Ryzen 5 7430U;16;1024;AMD Radeon;23.756,05
HP;250;Intel Core i5-1334U;8;512;Intel Iris Xe;20.265,85
Casper;Nirvana Z100;Intel Core i5-1335U;8;500;Intel Iris Xe;26.899,00
HP;15S-Fq5006nt;Intel Core İ5-1235U;8;512;Intel Iris Xe;4.849,03
HP;15-FC0059NT;AMD Ryzen 7 7730U;16;512;AMD Radeon;22.085,30
HP;250;Intel Core i5-1334U;16;512;Intel Iris Xe;23.488,75
HP;255;AMD Ryzen 7 7730U;16;512;AMD Radeon;22.159,06
HP;255;AMD Ryzen 5 7530U;16;512;AMD Radeon;20.400,00
HP;250;Intel Core i7-1355U;16;512;Intel Iris Xe;27.402,11
HP;250;Intel Core i7-1355U;16;512;Intel Iris Xe;27.099,07
HP;-;Intel Core Ultra 5 226V;16;1024;Entegre;59.999,00
HP;240;Intel Core i5-1335U;8;512;Intel Iris Xe;24.939,84
HP;ProBook 460 G11 A23BCEA Ultra 7 155U 16 GB 512 GB ;Intel Core Ultra 7 155U;16;512;Entegre;37.669,16
HP;ProBook 460 G11 A23BKEA Ultra 5 125U 16 GB 512 GB ;Intel Core Ultra 5 125U;16;512;Entegre;31.839,73
HP;-;Intel Core i7-1355U;16;512;Intel Iris Xe;32.447,04
HP;-;Intel Core i5-1334U;16;512;Intel Iris Xe;30.299,38
HP;250;Intel Core i5-1334U;16;512;Intel Iris Xe;23.104,43
HP;-;Intel Core i5-1334U;16;512;Intel Iris Xe;28.949,05
HP;250;Intel Core i5-1334U;8;512;Intel Iris Xe;20.265,85
HP;15S-Fq5006nt;Intel Core İ5-1235U;8;512;Intel Iris Xe;4.849,03
HP;15-FC0000NT;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;18.999,00
HP;EliteBook 660 G11 9C075EA Ultra 5 125U 16 GB 512 G;Intel Core Ultra 5 125U;16;512;Entegre;37.813,00
HP;-;Intel Core Ultra 7 155H;16;512;NVIDIA RTX2050;39.375,00
HP;250;Intel Core i5-1334U;8;512;Intel Iris Xe;18.999,00
HP;-;Intel Core Ultra 7 155H;32;1024;Entegre;77.999,55
HP;15-FC0016NT;AMD Ryzen 5 7520U;8;512;AMD Radeon;19.579,02
HP;255;AMD Ryzen 5 5500U;8;256;AMD Radeon;17.595,00
HP;15-FC0059NT;AMD Ryzen 7 7730U;16;512;Entegre;22.499,00
HP;250;Intel Core i5-1334U;8;256;Intel Iris Xe;19.999,00
HP;250;AMD Ryzen 7 5825U;32;1024;AMD Radeon;67.983,31
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Dell;Vostro 3530;Intel Core i7-1355U;8;512;Intel Iris Xe;24.225,00
Dell;Vostro N3409PVNB3530;Intel Core i5-1334U;8;512;Intel Iris Xe;20.497,25
Dell;Vostro 3530;Intel Core i7-1355U;16;512;Intel Iris Xe;25.619,00
Dell;-;Intel Core I5-1334U;16;512;Entegre;24.499,00
Dell;Vostro 3530;Intel Core i7-1355U;16;512;Entegre;26.867,16
Dell;Inspiron 3530;Intel Core i5-1334U;8;512;Intel Iris Xe;20.959,00
Dell;Latitude 3450;Intel Core i7-1355U;16;512;Intel Iris Xe;33.979,00
Dell;Inspiron 3530;Intel Core i7-1355U;16;1024;Intel Iris Xe;29.029,00
Dell;Inspiron 3530;Intel Core i5-1334U;16;512;Entegre;25.469,47
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Entegre;21.999,00
Dell;Vostro 3520;Intel Core i5-1235U;16;512;Intel Iris Xe;24.699,05
Dell;Inspiron 3520;Intel Core i5-1235U;8;512;Intel Iris Xe;20.499,00
Dell;Vostro 3530;Intel Core I7-1355U;64;1024;Entegre;43.990,00
Dell;XPS 13;Intel Core Ultra 7 258V;32;1024;Entegre;93.559,00
Dell;Vostro 3530;Intel Core i7-1355U;16;512;Intel Iris Xe;30.399,05
Dell;Latitude 3550;Intel Core i5-1335U;16;512;Intel Iris Xe;29.279,06
Dell;Latitude 3550;Intel Core i7-1355U;16;512;Intel Iris Xe;34.499,00
Dell;Precision M7780;Intel Core i7-13850HX;32;512;NVIDIA RTX3500;140.533,44
Dell;Inspiron 15;Intel Core i7-1355U;16;1024;Intel Iris Xe;32.250,00
Dell;Vostro 3520;Intel Core i5-1235U;8;512;Intel Iris Xe;22.250,00
Dell;Vostro 3520;Intel Core i5-1235U;8;512;Intel Iris Xe;22.379,22
Dell;Latitude 7440;Intel Core I7-1365U;32;1024;Entegre;55.400,00
Dell;Inspiron 3520;Intel Core i5-1235U;8;512;Intel Iris Xe;20.999,00
Dell;Latitude 5450;Intel Core Ultra 7 155U;16;512;Entegre;49.627,89
Dell;Latitude 5550;Intel Core Ultra 5 125U;16;512;Entegre;33.167,04
Dell;-;Intel Core I5-6300U;8;256;Entegre;8.100,00
Dell;-;Intel Core I5-8250U;8;512;Entegre;9.600,00
Dell;-;Intel Core i7-3540M;8;240;Entegre;10.903,93
Dell;-;Intel Core i5-6300U;8;256;Entegre;12.664,55
Dell;-;Intel Core i5-5200U;8;128;Entegre;12.664,55
Dell;Latıtude E5450;Intel Core İ7-5600U;8;240;Entegre;13.104,70
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
Diğer;-;Intel N4020;4;128;Intel UHD;6.495,07
Microsoft;Surface Laptop 6;Intel Core Ultra 5 135U;16;512;Entegre;45.999,00
Microsoft;Surface Pro;Intel Core Ultra 7 268V;32;512;Entegre;155.697,59
Diğer;-;Intel N4020;4;128;Intel UHD;10.999,00
Diğer;-;Intel Celeron N4020;4;128;Entegre;7.124,05
Microsoft;Surface Pro 10;Intel Core Ultra 7 165U;64;1024;Entegre;161.776,00
Diğer;-;Intel N4020;4;128;Entegre;7.124,05
Diğer;-;Intel N4020;4;128;Intel UHD;10.668,00
Diğer;-;Intel N4020;4;128;Intel UHD;6.495,07
Microsoft;Surface Laptop 6;Intel Core Ultra 5 135U;16;512;Entegre;45.999,00
Microsoft;Surface Pro;Intel Core Ultra 7 268V;32;512;Entegre;155.697,59
Diğer;-;Intel N4020;4;128;Intel UHD;10.999,00
Diğer;-;Intel Celeron N4020;4;128;Entegre;7.124,05
Microsoft;Surface Pro 10;Intel Core Ultra 7 165U;64;1024;Entegre;161.776,00
Diğer;-;Intel N4020;4;128;Entegre;7.124,05
Diğer;-;Intel N4020;4;128;Intel UHD;10.668,00
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
Diğer;-;Intel N4020;4;128;Intel UHD;6.495,07
Microsoft;Surface Laptop 6;Intel Core Ultra 5 135U;16;512;Entegre;45.999,00
Microsoft;Surface Pro;Intel Core Ultra 7 268V;32;512;Entegre;155.697,59
Diğer;-;Intel N4020;4;128;Intel UHD;10.999,00
Diğer;-;Intel Celeron N4020;4;128;Entegre;7.124,05
Microsoft;Surface Pro 10;Intel Core Ultra 7 165U;64;1024;Entegre;161.776,00
Diğer;-;Intel N4020;4;128;Entegre;7.124,05
Diğer;-;Intel N4020;4;128;Intel UHD;10.668,00
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Casper;Nirvana S100.1362-DF00X-G-F;Intel Core i7-13620H;32;1024;Intel UHD;33.051,53
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
Diğer;-;Intel N4020;4;128;Intel UHD;6.495,07
Casper;Nirvana X650.1342-BV00X-G-F;Intel Core i5-13420H;16;500;Intel UHD;22.139,00
Casper;Nirvana X600.7430-BV00X-G-F;AMD Ryzen 5 7430U;16;500;AMD Radeon;21.348,94
Casper;Nirvana C370.4020-4C00B;Intel N4020;4;120;Intel UHD;10.601,07
Microsoft;Surface Laptop 6;Intel Core Ultra 5 135U;16;512;Entegre;45.999,00
Casper;Nirvana X600.7430-DF00X-G-F;AMD Ryzen 5 7430U;32;1024;AMD Radeon;27.098,55
Casper;Nirvana S100.1362-BV00X-G-F;Intel Core i7-13620H;16;500;Intel UHD;26.489,80
Casper;Nirvana X600.1362-BV00X-G-F;Intel Core i7-13620H;16;500;Intel UHD;24.999,00
Casper;Nirvana S100.1342-BV00X-G-F;Intel Core i5-13420H;16;500;Intel UHD;22.999,00
Casper;Nirvana X600.7430-BF00X-G-F;AMD Ryzen 5 7430U;16;1024;AMD Radeon;23.756,05
Casper;Nirvana Z100;Intel Core i5-1335U;8;500;Intel Iris Xe;26.899,00
Casper;Nirvana S100.1362-DV00X-G-F;Intel Core i7-13620H;32;500;Intel UHD;30.972,45
Casper;Nirvana X650.1362-DF00X-G-F;Intel Core i7-13620H;32;1024;Intel UHD;31.564,55
Casper;Nirvana S100.1362-DF00A-G-F;Intel Core i7-13620H;32;1024;Intel UHD;36.260,00
Casper;Nirvana S100.1342-BF00X-G-F;Intel Core i5-13420H;16;1024;Intel UHD;25.599,00
Casper;Nirvana X700.5500-8E00T-G-F;AMD Ryzen 5 5500U;8;500;AMD Radeon;15.999,00
Casper;Nirvana X650.1315-BU00X-G-F;Intel Core i3-1315U;16;250;Intel UHD;18.981,05
Casper;Nirvana S100.1362-DX00X-G-F;Intel Core i7-13620H;32;2048;Intel UHD;36.148,55
Casper;Nirvana X600.1342-DE00X-G-F;Intel Core i5-13420H;32;500;Intel UHD;25.199,00
Casper;Nirvana S100.1342-DF00X-G-F;Intel Core i5-13420H;32;1024;Intel UHD;27.899,07
Casper;Nirvana X600.7430-BU00X-G-F;AMD Ryzen 5 7430U;16;250;AMD Radeon;21.177,55
Casper;Nirvana X650.1362-BV00X-G-F;Intel Core i7-13620H;16;500;Intel UHD;27.062,07
Casper;Nirvana S100.1342-BU00X-G-F;Intel Core i5-13420H;16;250;Intel UHD;22.911,53
Casper;Nirvana X600.7430-8V00X-G-F;AMD Ryzen 5 7430U;8;500;AMD Radeon;21.215,04
Casper;Nirvana X600.7430-DU00X-G-F;AMD Ryzen 5 7430U;32;250;AMD Radeon;24.458,07
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
Chuwi;-;Intel N150;16;512;Entegre;16.399,07
Diğer;-;Intel N4020;4;128;Intel UHD;6.495,07
Diğer;-;Intel N4020;4;128;Intel UHD;10.999,00
Diğer;-;Intel Celeron N4020;4;128;Entegre;7.124,05
Diğer;-;Intel N4020;4;128;Entegre;7.124,05
Diğer;-;Intel N4020;4;128;Intel UHD;10.668,00
LG;-;Intel Core Ultra 7 155H;32;2048;Entegre;147.240,00
LG;-;Intel Core Ultra 7 155H;16;1024;Entegre;128.060,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;46.974,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.170,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.030,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;46.974,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.170,00
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.030,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
LG;-;Intel Core Ultra 7 155H;32;2048;Entegre;147.240,00
LG;-;Intel Core Ultra 7 155H;16;1024;Entegre;128.060,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Huawei;MateBook D16;Intel Core i5-12450H;8;512;Intel UHD;21.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.299,00
Lenovo;-;Intel Core i5-13420H;16;512;Intel UHD;22.799,05
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;95.999,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;45.739,06
Asus;Vivobook Go 15 E1504FA-BQ1741;AMD Ryzen 5 7520U;8;512;AMD Radeon 610M;16.889,06
Lenovo;-;Intel N100;4;128;Intel UHD;9.149,00
Apple;Air M4;Apple M4;16;512;Apple M4 GPU;59.999,00
Lenovo;-;AMD Ryzen 5 5625U;16;512;AMD Radeon;19.489,00
Asus;Zenbook 14 UX3405CA-QL286W Ultra 7 255H 16 GB 512 ;Intel Core Ultra 7 255H;16;512;Intel Arc 140T;47.799,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;22.840,69
Lenovo;IdeaPad Slim 3 16IRH10 83K2001FTR i5-13420H 16 GB ;Intel Core i5-13420H;16;512;Intel UHD;24.499,00
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.999,00
Huawei;MateBook D14;Intel Core i5-12450H;16;512;Intel UHD;29.449,05
Lenovo;Ideapad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB ;Intel Core i7-13620H;16;1024;Intel UHD;39.845,95
Casper;Nirvana S100.1362-BF00X-G-F;Intel Core i7-13620H;16;1024;Intel UHD;25.999,00
Lenovo;-;Intel Core i7-13620H;16;512;Intel UHD;29.030,50
Dell;Vostro 3530;Intel Core i5-1334U;16;512;Intel Iris Xe;22.711,66
Apple;Air M2;Apple M2;16;256;Apple M2 GPU;36.566,00
Apple;Air M4;Apple M4;16;256;Apple M4 GPU;47.520,00
MSI;-;Intel Core i5-1334U;16;512;Intel Iris Xe;24.902,84
Asus;Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SS;Intel Core i7-13620H;16;1024;Intel UHD;37.049,03
Apple;Pro M4;Apple M4;16;512;Apple M4 GPU;74.999,00
Lenovo;ThinkBook 16P G5 IRX 21N50024TR i9-14900HX 32 GB 1;Intel Core i9-14900HX;32;1024;NVIDIA RTX4060;85.599,00
Apple;Pro M4 Pro;Apple M4 Pro;24;512;Apple M4 Pro GPU;123.490,00
Lenovo;-;Intel N100;4;128;Intel UHD;9.399,00
Lenovo;-;AMD Ryzen 3 7320U;8;512;AMD Radeon 610M;17.099,05
Huawei;MateBook D14;Intel Core i5-12450H;8;512;Intel UHD;23.699,00
Asus;Vivobook 16 V3607VU-RP285W;Intel Core 5 210H;8;512;NVIDIA RTX4050;40.999,00
Lenovo;ThinkBook 14 G7 ARP 21MV001ATR Ryzen 5 7535HS 16 G;AMD Ryzen 5 7535HS;16;512;AMD Radeon 660M;28.471,58
Samsung;Galaxy Book 5;Intel Core Ultra 7 256V;16;512;Entegre;77.221,89
Samsung;Galaxy Book 3;Intel Core i7-1355U;16;512;Entegre;47.072,00
Samsung;Galaxy Book 4;Intel Core 7 150U;16;512;Entegre;42.127,00
Samsung;Galaxy Book 4;Intel Core Ultra 9 185H;8;1024;NVIDIA RTXRtx4070;221.220,00
Samsung;Galaxy Book 3;Intel Core i7-1355U;16;1024;Entegre;56.061,96
Samsung;Galaxy Book 5;Intel Core Ultra 7 256V;16;2048;Entegre;97.117,02
Samsung;Galaxy Book 5;Intel Core Ultra 7 258V;32;1024;Entegre;97.191,00
Samsung;Galaxy Book 5;Intel Core Ultra 7 256V;16;1024;Entegre;84.025,89
Samsung;Galaxy Book 4;Intel Core 7 150U;16;512;Entegre;46.647,02
Samsung;Galaxy Book 3;Intel Core I7-1355U;16;512;Entegre;57.427,02
Samsung;Galaxy Book 3;Intel Core I7-1355U;16;1024;Entegre;62.719,02
Samsung;Galaxy Book 5;Intel Core Ultra 7 256V;16;1024;Entegre;91.799,00
Samsung;Galaxy Book 5;Intel Core Ultra 7 256V;16;1024;Entegre;94.569,02
Samsung;Galaxy Book 4;Intel Core 7 150U;16;2048;Entegre;60.269,02
Samsung;Galaxy Book 3;Intel Core i7-1355U;16;1024;Entegre;55.245,48
Samsung;Galaxy Book 4;Intel Core 7 150U;16;1024;Entegre;59.872,20
Samsung;Galaxy Book 5;Intel Core Ultra 7 256V;16;1024;Entegre;93.883,02
Samsung;Galaxy Book 4;Intel Core 7 150U;16;1024;Entegre;51.253,82
Samsung;Galaxy Book 5;Intel Core Ultra 7 258V;32;1024;Entegre;100.612,00
Samsung;Galaxy Book 5;Intel Core Ultra 7 256V;16;2048;Entegre;85.499,00
Samsung;Galaxy Book 5;Intel Core Ultra 7 256V;16;1024;Entegre;90.920,60
Samsung;Galaxy Book 5;Intel Core Ultra 7 258V;32;1024;Entegre;106.079,92
Samsung;Galaxy Book 5;Intel Core Ultra 7 256V;16;1024;Entegre;84.751,66
Samsung;Galaxy Book 5;Intel Core Ultra 7 256V;16;2048;Entegre;87.110,36
Samsung;Galaxy Book 4;Intel Core 7 150U;16;1024;Entegre;65.463,02
Toshiba;Satellite Radius;Intel Core i7-6500U;8;256;Entegre;48.999,99
Toshiba;-;Intel Core i7-4810MQ;8;1024;Entegre;69.999,99
Toshiba;Tecra X40-D-162;Intel Core İ7-7500U;8;512;Entegre;83.611,31
Toshiba;Portege X30-D-10K;Intel Core i7-7500U;16;512;Entegre;74.999,99
Toshiba;Portege R30-A-131;Intel Core i5-4300M;8;500;Entegre;49.842,75
Toshiba;Tecra A50-A-1EF;Intel Core i7-4610M;16;512;Entegre;46.178,00
Toshiba;Tecra Z40-A-180X;Intel Core i5-4310U;16;256;Entegre;37.399,99
Toshiba;Tecra Z50-A-13DF;Intel Core i7-4600U;8;500;Entegre;47.973,81
Toshiba;Tecra A50-A-1EF;Intel Core i7-4610M;8;512;Entegre;41.047,11
Toshiba;Portege R30-A-13E;Intel Core i7-4600M;16;512;Entegre;45.233,15
Toshiba;Tecra Z50-A-13D;Intel Core i7-4600U;8;500;Entegre;57.933,89
Toshiba;Portege Z30-A-13W;Intel Core i5-4300U;4;128;Entegre;62.386,67
Toshiba;Tecra X40-D-162;Intel Core i7-7500U;16;512;Intel UHD;76.963,34
Toshiba;-;Intel Core i5-4300U;8;256;Entegre;45.151,82
Toshiba;Tecra X40-D-162;Intel Core I7-7500U;16;512;Entegre;74.999,99
Toshiba;Satellite Radius;Intel Core i7-6500U;8;256;Entegre;48.999,99
Toshiba;-;Intel Core i7-4810MQ;8;1024;Entegre;69.999,99
Toshiba;Tecra X40-D-162;Intel Core İ7-7500U;8;512;Entegre;83.611,31
Toshiba;Portege X30-D-10K;Intel Core i7-7500U;16;512;Entegre;74.999,99
Toshiba;Portege R30-A-131;Intel Core i5-4300M;8;500;Entegre;49.842,75
Toshiba;Tecra A50-A-1EF;Intel Core i7-4610M;16;512;Entegre;46.178,00
Toshiba;Tecra Z40-A-180X;Intel Core i5-4310U;16;256;Entegre;37.399,99
Toshiba;Tecra Z50-A-13DF;Intel Core i7-4600U;8;500;Entegre;47.973,81
Toshiba;Tecra A50-A-1EF;Intel Core i7-4610M;8;512;Entegre;41.047,11
Toshiba;Portege R30-A-13E;Intel Core i7-4600M;16;512;Entegre;45.233,15
Toshiba;Tecra Z50-A-13D;Intel Core i7-4600U;8;500;Entegre;57.933,89
Toshiba;Portege Z30-A-13W;Intel Core i5-4300U;4;128;Entegre;62.386,67
Toshiba;Tecra X40-D-162;Intel Core i7-7500U;16;512;Intel UHD;76.963,34
Toshiba;-;Intel Core i5-4300U;8;256;Entegre;45.151,82
Toshiba;Tecra X40-D-162;Intel Core I7-7500U;16;512;Entegre;74.999,99
Toshiba;Satellite Radius;Intel Core i7-6500U;8;256;Entegre;48.999,99
Toshiba;-;Intel Core i7-4810MQ;8;1024;Entegre;69.999,99
Toshiba;Tecra X40-D-162;Intel Core İ7-7500U;8;512;Entegre;83.611,31
Toshiba;Portege X30-D-10K;Intel Core i7-7500U;16;512;Entegre;74.999,99
Toshiba;Portege R30-A-131;Intel Core i5-4300M;8;500;Entegre;49.842,75
Toshiba;Tecra A50-A-1EF;Intel Core i7-4610M;16;512;Entegre;46.178,00
Toshiba;Tecra Z40-A-180X;Intel Core i5-4310U;16;256;Entegre;37.399,99
Toshiba;Tecra Z50-A-13DF;Intel Core i7-4600U;8;500;Entegre;47.973,81
Toshiba;Tecra A50-A-1EF;Intel Core i7-4610M;8;512;Entegre;41.047,11
Toshiba;Portege R30-A-13E;Intel Core i7-4600M;16;512;Entegre;45.233,15
